COLUMN1,COLUMN2,COLUMN3,COLUMN4,COLUMN5,COLUMN6,COLUMN7,COLUMN8,COLUMN9,COLUMN10,COLUMN11,COLUMN12,COLUMN13,COLUMN14,COLUMN15,COLUMN16,COLUMN17,COLUMN18,COLUMN19,COLUMN20,COLUMN21,COLUMN22,COLUMN23,COLUMN24,COLUMN25,COLUMN26,COLUMN27,COLUMN28,COLUMN29,COLUMN30,COLUMN31,COLUMN32,COLUMN33,COLUMN34,COLUMN35
1,0,-.26667,.4,-.27303,.12159,-.17778,-.04444,.06192,-.06879,.04461,.02575,-.00885,.02726,-.01586,-.00166,-.00093,-.00883,.0047,-.00153,.00138,.00238,-.00114,.00102,-.00069,-.0005,.00019,-.00043,.00026,.00005,0,.00015,-.00008,.00002,1
1,0,.94531,-.03516,-1,-.33203,-1,-.01563,.97266,.01172,.93359,-.01953,-1,.16406,-1,-.00391,.95313,-.03516,.92188,-.02734,-.99219,.11719,-.93359,.34766,.95703,-.00391,.82041,.13758,.90234,-.06641,-1,-.1875,-1,-.34375,1
1,0,1,-.05529,1,-1,.5,-.11111,.36111,-.22222,1,-.25712,.16667,-.11111,1,-.3466,1,-.38853,1,-.42862,0,-.25,1,-.50333,1,-.27778,1,-.57092,1,-.27778,1,-.63156,1,-.65935,1
1,0,.62745,-.07843,.72549,0,.60784,-.07843,.62745,-.11765,.68627,-.11765,.66667,-.13725,.64706,-.09804,.54902,-.11765,.54902,-.21569,.58824,-.19608,.66667,-.23529,.45098,-.2549,.52409,-.24668,.56863,-.31373,.43137,-.21569,.47059,-.27451,1
1,0,-.65625,.15625,.0625,0,0,.0625,.625,.0625,.1875,0,-.03125,.09375,.0625,0,.15625,-.15625,.4375,-.375,0,-.09375,0,0,.03125,-.46875,.03125,0,-.71875,.03125,-.03125,0,0,.09375,1
1,0,.85271,.05426,1,.08069,1,1,.91473,-.00775,.83721,.03876,1,.27153,1,1,.81395,.04651,.90698,.11628,1,.5067,1,-1,.8062,.03876,1,.71613,.84496,.06977,1,.87317,1,1,1
1,0,-.205,.2875,.23,.1,.2825,.3175,.3225,.35,.36285,-.34617,.0925,.275,-.095,.21,-.0875,.235,-.34187,.31408,-.48,-.08,.29908,.33176,-.58,-.24,.3219,-.28475,-.47,.185,-.27104,-.31228,.40445,.0305,1
1,0,.05866,-.00838,.06704,.00838,0,-.01117,.00559,-.03911,.01676,-.07542,-.00559,.05307,.06425,-.03352,0,.09497,-.06425,.07542,-.04749,.02514,.02793,-.00559,.00838,.00559,.10335,-.00838,.03073,-.00279,.04469,0,.04749,-.03352,1
1,0,.0546,.01437,-.02586,.04598,.01437,.04598,-.07759,.00862,.01724,-.06609,-.03736,.0431,-.08333,-.04598,-.09483,.08046,-.04023,.05172,.02011,.02299,-.03736,-.01149,.03161,-.00862,.00862,.01724,.02586,.01149,.02586,.01149,-.04598,-.00575,1
1,0,.03852,.02568,.00428,0,.01997,-.01997,.0214,-.04993,-.0485,-.01284,.01427,-.02282,0,-.03281,-.04708,-.02853,-.01712,.03566,.0214,.00428,.05136,-.02282,.05136,.01854,.03994,.01569,.01997,.00713,-.02568,-.01854,-.01427,.01997,1
1,0,.08696,.00686,.13959,-.04119,.10526,-.08238,.12586,-.06178,.23341,-.01144,.12357,.0778,.14645,-.13501,.29062,-.04805,.18993,.07323,.1167,0,.11213,-.00229,.15103,-.10297,.08467,.01373,.11213,-.06636,.09611,-.07323,.1167,-.06865,1
1,0,.01975,.00705,.0409,-.00846,.02116,.01128,.01128,.04372,.00282,.00141,.01975,-.03103,-.01975,.06065,-.0409,.0268,-.02398,-.00423,.04372,-.02539,.01834,0,0,-.01269,.01834,-.01128,.00564,-.01551,-.01693,-.02398,.00705,0,1
1,0,1,-1,1,1,-1,1,1,-1,1,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,-1,1,-1,1,1,1,1,-1,1,-1,1,1
1,0,1,1,1,.5125,.625,-1,1,1,.025,.03125,1,1,0,0,1,-1,1,1,1,1,.3125,1,1,1,1,1,1,1,-.94375,1,0,0,1
1,0,0,0,-1,-1,-1,1,0,0,-1,1,1,1,1,-1,0,0,0,0,-1,-1,-1,1,1,.4375,1,-1,0,0,-1,-1,-1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,-1,1,1,1,0,0,1,-1,1,-1,1,-1,-1,-1,0,0,-1,-1,0,0,0,0,-1,-1,1,-1,1,1,-1,-1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,.75,0,0,0,0,-1,1,0,0,1,-1,-1,-1,1,1,0,0,1
1,0,.62121,-.63636,0,0,0,0,.3447,.28788,.42803,.39394,-.07576,.51894,.36364,.31439,-.53788,.32955,.12121,-.14773,.01894,-.53409,-.57576,.17803,.29167,-.27273,.25758,-.57576,.43182,.24242,.18182,-.02273,.17045,-.41667,1
1,0,0,0,-1,-.62766,1,.51064,.07979,-.23404,-1,-.3617,.12766,-.59043,1,-1,0,0,.82979,-.07979,-.25,1,.17021,-.70745,0,0,-.19149,-.46809,-.2234,-.48936,.74468,.90426,-.67553,.45745,1
