COLUMN4,COLUMN5,COLUMN6,COLUMN7,COLUMN8,COLUMN9,COLUMN1,COLUMN2,COLUMN3
.205,.0895,.0395,.055,7,3,.33,.255,.08
.3515,.141,.0775,.12,8,3,.425,.3,.095
.2905,.095,.0395,.115,7,3,.355,.28,.085
.2255,.08,.049,.085,10,3,.38,.275,.1
.07,.0315,.0235,.02,5,3,.24,.175,.045
.042,.0255,.015,.012,5,3,.205,.15,.055
.042,.0175,.0125,.015,4,3,.21,.15,.05
.203,.0875,.045,.075,7,3,.39,.295,.095
.161,.0755,.0255,.045,6,3,.325,.245,.07
.595,.2385,.111,.19,8,3,.52,.41,.12
.086,.042,.014,.025,4,3,.245,.19,.06
.151,.063,.0405,.045,6,3,.31,.235,.07
.2315,.105,.046,.075,7,3,.36,.265,.095
.3325,.1485,.0635,.105,9,3,.435,.32,.08
.2535,.103,.0575,.085,7,3,.385,.295,.085
.1755,.081,.0505,.07,6,3,.36,.28,.08
.073,.0285,.0235,.03,5,3,.27,.195,.06
.238,.1075,.0545,.07,6,3,.375,.275,.09
.2505,.112,.061,.08,8,3,.385,.29,.085
.211,.086,.056,.068,7,3,.35,.26,.095
.0975,.04,.0205,.028,7,3,.265,.2,.065
.127,.052,.039,.042,9,3,.28,.205,.08
.0315,.0105,.0065,.0125,5,3,.175,.13,.055
.03,.013,.008,.01,4,3,.17,.13,.095
.048,.0185,.018,.015,5,3,.235,.16,.04
.1785,.0645,.037,.075,7,3,.36,.26,.09
.125,.06,.0375,.035,5,3,.315,.21,.06
.1435,.053,.0475,.05,8,3,.315,.245,.085
.0465,.025,.015,.015,4,3,.225,.16,.045
.471,.222,.119,.14,9,3,.465,.375,.12
.3215,.1535,.0595,.105,10,3,.415,.325,.1
.25,.1075,.0545,.08,9,3,.365,.295,.095
.1995,.0755,.0535,.07,6,3,.345,.275,.095
.302,.116,.064,.115,11,3,.39,.31,.1
.365,.1655,.083,.11,7,3,.44,.345,.12
.529,.2165,.139,.155,11,3,.49,.38,.12
.101,.036,.0235,.035,8,3,.29,.225,.07
.092,.037,.02,.03,6,3,.26,.2,.07
.366,.122,.0905,.12,13,3,.44,.345,.1
.217,.084,.0435,.09,7,3,.36,.275,.095
.252,.0915,.055,.09,14,3,.385,.305,.095
